Dates,Satelite,Relaive_orbit,median_waterlevel
2019-01-30,SENTINEL_B,246,208.4023987
2019-01-30,SENTINEL_B,255,319.9824999
2019-01-31,SENTINEL_A,27,208.42630855
2019-02-03,SENTINEL_B,303,207.796629
2019-02-04,SENTINEL_A,84,208.1237469
2019-02-07,SENTINEL_B,360,208.1046001
2019-02-08,SENTINEL_A,132,208.40806335
2019-02-08,SENTINEL_A,141,346.1992
2019-02-10,SENTINEL_B,27,208.2454858
2019-02-11,SENTINEL_B,32,265.1784999
2019-02-12,SENTINEL_A,189,208.3663116
2019-02-12,SENTINEL_A,198,319.0847998
2019-02-14,SENTINEL_B,84,208.38571085
2019-02-16,SENTINEL_A,246,208.38434455
2019-02-18,SENTINEL_B,132,208.6721219
2019-02-18,SENTINEL_B,141,208.4695367
2019-02-20,SENTINEL_A,303,208.4721324
2019-02-22,SENTINEL_B,189,208.4692588
2019-02-22,SENTINEL_B,198,208.4319
2019-02-23,SENTINEL_A,355,208.48570205
2019-02-26,SENTINEL_B,246,208.4205866
2019-02-27,SENTINEL_A,27,208.4018576
2019-02-28,SENTINEL_A,32,208.3373999
2019-03-02,SENTINEL_B,303,208.239966
2019-03-03,SENTINEL_A,84,208.2914305
2019-03-06,SENTINEL_B,360,208.5489999
2019-03-07,SENTINEL_A,132,208.466766
2019-03-07,SENTINEL_A,141,336.2009999
2019-03-09,SENTINEL_B,27,208.3165923
2019-03-11,SENTINEL_A,189,208.4533142
2019-03-11,SENTINEL_A,198,207.9641999
2019-03-13,SENTINEL_B,84,208.4741303
2019-03-15,SENTINEL_A,246,208.36509075
2019-03-17,SENTINEL_B,132,208.6029999
2019-03-17,SENTINEL_B,141,208.49218465
2019-03-21,SENTINEL_B,198,208.1762
2019-03-22,SENTINEL_A,355,208.4429239
2019-03-25,SENTINEL_B,246,208.3300093
2019-03-26,SENTINEL_A,27,208.54082135
2019-03-27,SENTINEL_A,32,208.8250999
2019-03-29,SENTINEL_B,303,208.3475553
2019-03-30,SENTINEL_A,84,208.3437035
2019-04-02,SENTINEL_B,360,208.5871999
2019-04-03,SENTINEL_A,132,207.1620822
2019-04-05,SENTINEL_B,27,207.1325768
2019-04-06,SENTINEL_B,32,207.7762
2019-04-07,SENTINEL_A,189,207.2553371
2019-04-07,SENTINEL_A,198,207.7696999
2019-04-09,SENTINEL_B,84,208.5726253
2019-04-11,SENTINEL_A,246,208.15017455
2019-04-13,SENTINEL_B,132,208.7541498
2019-04-15,SENTINEL_A,303,208.4780457
2019-04-17,SENTINEL_B,189,208.7259838
2019-04-17,SENTINEL_B,198,208.6181
2019-04-18,SENTINEL_A,355,208.77060145
2019-04-21,SENTINEL_B,246,208.6525657
2019-04-21,SENTINEL_B,255,208.672
2019-04-22,SENTINEL_A,27,208.6678708
2019-04-25,SENTINEL_B,303,208.72051775
2019-04-26,SENTINEL_A,84,208.7228145
2019-04-29,SENTINEL_B,360,208.8956999
2019-04-30,SENTINEL_A,132,208.795056
2019-04-30,SENTINEL_A,141,208.8706501
2019-05-02,SENTINEL_B,27,208.8728648
2019-05-03,SENTINEL_B,32,208.5257
2019-05-04,SENTINEL_A,189,208.7910898
2019-05-04,SENTINEL_A,198,208.6815999
2019-05-06,SENTINEL_B,84,208.8242232
2019-05-08,SENTINEL_A,246,208.6527367
2019-05-10,SENTINEL_B,132,208.7511998
2019-05-10,SENTINEL_B,141,208.8436868
2019-05-12,SENTINEL_A,303,208.6614522
2019-05-14,SENTINEL_B,189,208.8418029
2019-05-15,SENTINEL_A,355,208.7863202
2019-05-16,SENTINEL_A,360,208.6324
2019-05-18,SENTINEL_B,246,208.6976554
2019-05-18,SENTINEL_B,255,208.6202
2019-05-19,SENTINEL_A,27,208.6364224
2019-05-22,SENTINEL_B,303,208.5948118
2019-05-26,SENTINEL_B,360,211.0532999
2019-05-27,SENTINEL_A,132,208.79252205
2019-05-27,SENTINEL_A,141,208.8366999
2019-05-29,SENTINEL_B,27,208.8408877
2019-05-30,SENTINEL_B,32,208.3169999
2019-05-31,SENTINEL_A,189,208.633391
2019-05-31,SENTINEL_A,198,208.3172999
2019-06-02,SENTINEL_B,84,208.74385125
2019-06-04,SENTINEL_A,246,208.64808105
2019-06-06,SENTINEL_B,132,208.8331
2019-06-06,SENTINEL_B,141,208.8207005
2019-06-08,SENTINEL_A,303,208.7682051
2019-06-10,SENTINEL_B,189,208.91537345
2019-06-10,SENTINEL_B,198,208.7466999
2019-06-11,SENTINEL_A,355,208.8941673
2019-06-14,SENTINEL_B,246,208.75377985
2019-06-15,SENTINEL_A,27,208.7433324
2019-06-18,SENTINEL_B,303,208.7382676
2019-06-19,SENTINEL_A,84,208.59905825
2019-06-22,SENTINEL_B,360,208.8966998
2019-06-23,SENTINEL_A,132,208.8693671
2019-06-23,SENTINEL_A,141,208.8228499
2019-06-25,SENTINEL_B,27,208.8778847
2019-06-26,SENTINEL_B,32,208.3981499
2019-06-27,SENTINEL_A,189,208.8415487
2019-06-29,SENTINEL_B,84,208.8299311
2019-07-01,SENTINEL_A,246,208.71292635
2019-07-03,SENTINEL_B,132,209.0203875
2019-07-03,SENTINEL_B,141,208.9869892
2019-07-05,SENTINEL_A,303,208.9247141
2019-07-07,SENTINEL_B,189,209.134471
2019-07-12,SENTINEL_A,27,208.9787208
2019-07-15,SENTINEL_B,303,209.02778285
2019-07-16,SENTINEL_A,84,209.0487999
2019-07-20,SENTINEL_A,132,209.2220208
2019-07-20,SENTINEL_A,141,209.2779
2019-07-22,SENTINEL_B,27,209.2535879
2019-07-23,SENTINEL_B,32,208.9338999
2019-07-24,SENTINEL_A,189,209.144936
2019-07-24,SENTINEL_A,198,208.8880499
2019-07-26,SENTINEL_B,84,209.2288583
2019-07-28,SENTINEL_A,246,209.069085
2019-07-30,SENTINEL_B,132,209.1646499
2019-07-30,SENTINEL_B,141,209.2172523
2019-08-01,SENTINEL_A,303,209.2097581
2019-08-03,SENTINEL_B,189,209.3813327
2019-08-03,SENTINEL_B,198,209.2253999
2019-08-04,SENTINEL_A,355,209.3645436
2019-08-07,SENTINEL_B,246,209.1701801
2019-08-08,SENTINEL_A,27,209.2153476
2019-08-09,SENTINEL_A,32,209.24925
2019-08-11,SENTINEL_B,303,209.1910872
2019-08-12,SENTINEL_A,84,209.2035004
2019-08-15,SENTINEL_B,360,209.3982
2019-08-16,SENTINEL_A,132,209.45513045
2019-08-16,SENTINEL_A,141,209.3240498
2019-08-18,SENTINEL_B,27,209.4135064
2019-08-19,SENTINEL_B,32,208.83085
2019-08-20,SENTINEL_A,189,209.40580315
2019-08-22,SENTINEL_B,84,209.38523715
2019-08-24,SENTINEL_A,246,209.2882727
2019-08-26,SENTINEL_B,132,209.3581
2019-08-26,SENTINEL_B,141,209.35571835
2019-08-28,SENTINEL_A,303,209.3729127
2019-08-30,SENTINEL_B,189,209.4973814
2019-09-03,SENTINEL_B,246,209.3240557
2019-09-07,SENTINEL_B,303,209.27291075
2019-09-11,SENTINEL_B,360,209.3531
2019-09-14,SENTINEL_B,27,209.45876365
2019-09-15,SENTINEL_B,32,209.0357998
2019-09-18,SENTINEL_B,84,209.3985376
2019-09-22,SENTINEL_B,132,209.5138999
2019-09-22,SENTINEL_B,141,209.4540817
2019-09-26,SENTINEL_B,189,209.5269325
2019-09-30,SENTINEL_B,246,209.3327022
2019-10-04,SENTINEL_B,303,209.31523785
2019-10-08,SENTINEL_B,360,209.6035499
2019-10-11,SENTINEL_B,27,209.39896525
2019-10-12,SENTINEL_B,32,208.96
2019-10-15,SENTINEL_B,84,209.3177888
2019-10-19,SENTINEL_B,132,209.41055
2019-10-19,SENTINEL_B,141,209.37271215
2019-10-23,SENTINEL_B,189,209.4661147
2019-10-27,SENTINEL_B,246,209.20205525
2019-10-31,SENTINEL_B,303,209.2292364
2019-11-04,SENTINEL_B,360,209.2205498
2019-11-07,SENTINEL_B,27,209.0635217
2019-11-08,SENTINEL_B,32,207.4744999
2019-11-11,SENTINEL_B,84,209.1757428
